Gyms,Latitude,Longitude,Address,State
ATC Tower ,19.094407,72.855381,70-C Nehru Rd,Maharashtra
Abstract Body Art ,28.626237,77.232226,10 Tansen Marg,Delhi
Airport Fountain ,19.100251,72.873417,Sahar Elevated Rd,Maharashtra
Ancient Architecture ,28.644922,77.210835,3/12 Rajguru Marg,Delhi
Annabhau Saathe Udyaan ,19.053764,72.884468,C-4 V. N. Purav Marg,Maharashtra
Archaeological Museum ,28.608507,77.243229,Mathura Rd,Delhi
Artistic Water Tank ,19.064695,72.882404,152 Bhiva Bapu Magre Marg,Maharashtra
Asalfa Metro Station ,19.096242,72.895074,Andheri - Ghatkopar Rd,Maharashtra
Bandra East Bus Depot ,19.061923,72.850732,B-201 Samaj Mandir Hall Marg,Maharashtra
Baoli ,28.609115,77.244307,Bhairon Marg,Delhi
Bharat Diamond Bourse Fountain ,19.065184,72.863997,BKC Road,Maharashtra
Big Indian Flag ,28.632018,77.219534,F-16/1 Rajiv Chowk,Delhi
Big Oval Building ,19.062236,72.865035,Semsons Rd,Maharashtra
Bow and Arrow Structure ,19.078729,72.907028,Plot No 165 Dr MP Vaidya Marg,Maharashtra
Brahman Samaj Chowk Pillar ,19.082259,72.904702,20/a MG Road,Maharashtra
Chembur Monorail Station ,19.060888,72.897226,29 RC Marg,Maharashtra
Christ on Cross ,19.078324,72.868457,9 Church Rd,Maharashtra
Church of Christ the King ,28.57891,77.218981,BK Dutt Colony,Delhi
Clock Tower Mumbai International Airport ,19.095896,72.875633,Vile Parle,Maharashtra
Corner Dome I ,28.590204,77.20922,21 Safdarjung Rd,Delhi
Corner Dome III ,28.588122,77.212144,Sri Aurobindo Marg,Delhi
Council for Scientific and Industrial Research ,28.618167,77.212448,9 Rafi Marg,Delhi
Cross Near Mary Immaculate School ,19.078766,72.867167,Church Rd,Maharashtra
Dattguru Temple ,19.082735,72.882355,175 LBS Marg,Maharashtra
Delhi Safdarjung Mural ,28.5823,77.185408,New Moti Bagh,Delhi
Destiny Abstract Art ,19.058798,72.900649,70 - H Central Ave Rd,Maharashtra
Devi Mari Aai Temple ,19.079759,72.89689,19 Vidyavihar station skywalk,Maharashtra
Dr. Ambedkar Stadium ,28.63874,77.241697,Jawaharlal Nehru Marg,Delhi
